secuencial;anyo;mes;nombre_mes;dia_semana;nombre_dia_semana;hora;cod_provincia;nombre_provincia;cod_municipio;nombre_codigo_municipio;isla;nombre_isla;zona;nombre_zona;zona_agrupada;nombre_zona_agrupada;carretera;km;sentido_1f;nombre_sentido;titularidad_via;nombre_titularidad_via;tipo_via;nombre_tipo_via;tipo_accidente;nombre_tipo_accidente;total_mu24h;total_hg24h;total_hl24h;total_victimas_24h;total_mu30df;total_hg30df;total_hl30df;total_victimas_30df;total_vehiculos;tot_peat_mu24h;tot_bici_mu24h;tot_ciclo_mu24h;tot_moto_mu24h;tot_tur_mu24h;tot_furg_mu24h;tot_cam_menos3500_mu24h;tot_cam_mas3500_mu24h;tot_bus_mu24h;tot_otro_mu24h;tot_sinespecif_mu24h;tot_peat_mu30df;tot_bici_mu30df;tot_ciclo_mu30df;tot_moto_mu30df;tot_tur_mu30df;tot_furg_mu30df;tot_cam_menos3500_mu30df;tot_cam_mas3500_mu30df;tot_bus_mu30df;tot_otro_mu30df;tot_sinespecif_mu30df;nudo;nombre_nudo;nudo_info;nombre_nudo_info;carretera_cruce;priori_norma;nombre_priori_norma;priori_agente;nombre_priori_agente;priori_semaforo;nombre_priori_semaforo;priori_vert_stop;nombre_priori_vert_stop;priori_vert_ceda;nombre_priori_priori_vert_ceda;priori_horiz_stop;nombre_priori_horiz_stop;priori_horiz_ceda;nombre_priori_horiz_ceda;priori_marcas;nombre_priori_marcas;priori_pea_no_elev;nombre_priori_pea_no_elev;priori_pea_elev;nombre_priori_pea_elev;priori_marca_ciclos;nombre_priori_marca_ciclos;priori_circunstancial;nombre_priori_circunstancial;priori_otra;nombre_priori_otra;condicion_nivel_circula;nombre_condicion_nivel_circula;condicion_firme;nombre_condicion_firme;condicion_iluminacion;nombre_condicion_iluminacion;condicion_meteo;nombre_condicion_meteo;condicion_niebla;nombre_condicion_niebla;condicion_viento;nombre_condicion_viento;visib_restringida_por;nombre_visib_restringida_por;acera;nombre_acera;trazado_planta;nombre_trazado_planta;latitud;longitud;geom
25409;2018;7;Julio;7;DOMINGO;21;8;Barcelona;8019;Barcelona;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;B-20;15.4;4;Se desconoce;4;Municipal;3;Autovía;2;Fronto-lateral                                     ;0;0;1;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;6;Se desconoce;1;Seco y limpio;5;Sin luz natural y con iluminación artificial no en;1;Despejado;1;Niebla ligera;;;18;Se desconoce;998;No aplica;4;Se desconoce;4.138.792;2.169.919;POINT (2.169919 41.38792)
3618;2019;8;Agosto;4;JUEVES;20;3;Alicante/Alacant;3093;Novelda;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;CV-835;0.8;1;Ascendente;2;Autonómica;6;Carretera Convencional de calzada única;18;Salida de la vía por la derecha con vuelco         ;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;En intersección o nudo;4;Glorieta;CV-835;0;No;0;No;0;No;0;No;1;Sí;0;No;1;Sí;0;No;0;No;0;No;0;No;0;No;0;No;1;Nivel blanco;1;Seco y limpio;2;Amanecer o atardecer, sin luz artificial;1;Despejado;;;;;1;Buena visibilidad;998;No aplica;2;Curva señalizada;383.853;-0.7653857;POINT (-0.7653857 38.3853)
88330;2017;8;Agosto;1;LUNES;13;43;Tarragona;0;;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;T-730;12;4;Se desconoce;4;Municipal;5;Carretera Convencional de doble calzada;19;Salida de la vía por la derecha otro tipo          ;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;6;Se desconoce;1;Seco y limpio;1;Luz del día natural, solar;1;Despejado;;;;;18;Se desconoce;998;No aplica;4;Se desconoce;4.117.607;0.70659;POINT (0.70659 41.17607)
50476;2018;9;Septiembre;2;MARTES;8;27;Lugo;27016;Chantada;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;LU-P-1801;0.9;1;Ascendente;3;Provincial, Cabildo/Consell;6;Carretera Convencional de calzada única;12;Salida de la vía por la izquierda con colisión     ;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;1;Nivel blanco;3;Mojado;1;Luz del día natural, solar;3;Lluvia débil;;;;;1;Buena visibilidad;998;No aplica;3;Curva sin señalizar;4.260.867;-7.773.468;POINT (-7.773468 42.60867)
77357;2017;7;Julio;1;LUNES;13;35;Palmas, Las;35030;Tuineje;8;Fuerteventura;1;Carretera;1;VÍAS INTERURBANAS;FV-520;2.8;1;Ascendente;3;Provincial, Cabildo/Consell;6;Carretera Convencional de calzada única;4;Por alcance                                        ;0;0;4;4;0;0;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;2;Nivel verde;1;Seco y limpio;1;Luz del día natural, solar;1;Despejado;;;;;1;Buena visibilidad;998;No aplica;1;Recta;2.832.417;-1.404.758;POINT (-14.04758 28.32417)
90255;2019;12;Diciembre;7;DOMINGO;23;43;Tarragona;43148;Tarragona;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;N-340;1159;4;Se desconoce;1;Estatal;5;Carretera Convencional de doble calzada;3;Lateral                                            ;0;0;1;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;6;Se desconoce;1;Seco y limpio;4;Sin luz natural y con iluminación artificial encen;1;Despejado;;;;;18;Se desconoce;998;No aplica;4;Se desconoce;4.111.866;124.533;POINT (1.24533 41.11866)
96570;2016;1;Enero;7;DOMINGO;14;48;Bizkaia;;;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;BI-623;32.2;1;Ascendente;3;Provincial, Cabildo/Consell;14;Otro;4;Por alcance                                        ;0;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;1;Nivel blanco;1;Seco y limpio;1;Luz del día natural, solar;7;Se desconoce;;;;;1;Buena visibilidad;998;No aplica;1;Recta;4.314.423;-26.473;POINT (-2.6473 43.14423)
90950;2016;9;Septiembre;1;LUNES;9;46;Valencia/València;46005;Alaquàs;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;CV-410;1.6;1;Ascendente;2;Autonómica;6;Carretera Convencional de calzada única;2;Fronto-lateral                                     ;0;0;1;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;En intersección o nudo;4;Glorieta;CV-410;0;No;0;No;0;No;0;No;1;Sí;0;No;0;No;0;No;0;No;0;No;0;No;0;No;0;No;1;Nivel blanco;1;Seco y limpio;1;Luz del día natural, solar;1;Despejado;;;;;1;Buena visibilidad;998;No aplica;4;Se desconoce;3.945.708;-0.4610681;POINT (-0.4610681 39.45708)
71717;2017;8;Agosto;5;VIERNES;21;30;Murcia;30030;Murcia;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;RM-C1;10.3;2;Descendente;2;Autonómica;6;Carretera Convencional de calzada única;16;Salida de la vía por la derecha con colisión       ;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;1;Nivel blanco;1;Seco y limpio;6;Sin luz natural ni artificial;1;Despejado;;;;;4;Configuración del terreno;998;No aplica;2;Curva señalizada;3.798.344;-112.989;POINT (-1.12989 37.98344)
9445;2021;2;Febrero;5;VIERNES;8;8;Barcelona;8194;Sant Adrià de Besòs;;No aplica;1;Carretera;1;VÍAS INTERURBANAS;B-10;4.9;4;Se desconoce;5;Otra;3;Autovía;20;Otro tipo de accidente                             ;0;0;1;1;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;Fuera de intersección o nudo;;;;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;999;Sin especificar;1;Seco y limpio;1;Luz del día natural, solar;1;Despejado;;;1;Viento fuerte;999;Sin especificar;998;No aplica;4;Se desconoce;414.306;2.218.239;POINT (2.218239 41.4306)
